date,ticker
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FUR
2010-01-04,FTR
2010-01-04,FTR
2010-01-04,FTRCQ
2010-01-04,FTRCQ
2010-01-04,FVE
2010-01-04,FXEN
2010-01-04,FXEN
2010-01-04,GADS
2010-01-04,GADS
2010-01-04,GADS
2010-01-04,GADS
2010-01-04,GADS
2010-01-04,GADS
2010-01-04,GADS
2010-01-04,GBNK
2010-01-04,GBNK
2010-01-04,GCEH
2010-01-04,GCEH
2010-01-04,GCEH
2010-01-04,GCEHD
2010-01-04,GCEHD
2010-01-04,GCEHD
2010-01-04,GCEHQ
2010-01-04,GCEHQ
2010-01-04,GCEHQ
2010-01-04,GCA
2010-01-04,GCA
2010-01-04,GDEN
2010-01-04,GDEN
2010-01-04,GDPM
2010-01-04,GDPM
2010-01-04,GDPM
2010-01-04,GDPM
2010-01-04,GDPM
2010-01-04,GDPM
2010-01-04,GEN1
2010-01-04,GENTY
2010-01-04,GEOI
2010-01-04,GEOI
2010-01-04,GEOI
2010-01-04,GEOI
2010-01-04,GEOI
2010-01-04,GEOI
2010-01-04,GEOY
2010-01-04,GEOKQ
2010-01-04,GEOKQ
2010-01-04,GEOKQ
2010-01-04,GEOKQ
2010-01-04,GEOKQ
2010-01-04,GEOKQ
2010-01-04,GEOKQ
2010-01-04,GEOKQ
2010-01-04,GEOKQ
2010-01-04,GFED
2010-01-04,GFED
2010-01-04,GEVA
2010-01-04,GEVA
2010-01-04,GFN
2010-01-04,GFN
2010-01-04,GHDX
2010-01-04,GHDX
2010-01-04,GIG1
2010-01-04,GIG1
2010-01-04,GIG1
2010-01-04,GIGAD
2010-01-04,GIVN
2010-01-04,GIVN
2010-01-04,GKI
2010-01-04,GKI
2010-01-04,GKI
2010-01-04,GKNT
2010-01-04,GKNT
2010-01-04,GKNT
2010-01-04,GKNT
2010-01-04,GLBC
2010-01-04,GLBC
2010-01-04,GLBL_old1
2010-01-04,GLCH
2010-01-04,GLCH
2010-01-04,GLCH
2010-01-04,GLCH
2010-01-04,GLCH
2010-01-04,GLCH
2010-01-04,GLDC
2010-01-04,GLG_old
2010-01-04,GLG_old
2010-01-04,GLT
2010-01-04,GMO
2010-01-04,GMO
2010-01-04,GMOL
2010-01-04,GMOL
2010-01-04,GMOLQ
2010-01-04,GMOLQ
2010-01-04,GMXRQ
2010-01-04,GNI
2010-01-04,GNI
2010-01-04,GNI
2010-01-04,GNVC
2010-01-04,GNVC
2010-01-04,GNVC
2010-01-04,GPIC
2010-01-04,GPIC
2010-01-04,GPIC
2010-01-04,GQMNF
2010-01-04,GR
2010-01-04,GPOR_old
2010-01-04,GPOR_old
2010-01-04,GPORQ
2010-01-04,GPORQ
2010-01-04,GRA
